Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.112609285645e+01,-2.970968029944e+03,1.918687625519e+03,-2.470075092690e+01,-2.998423585923e+03,1.967181765621e+03,-3.574658070448e+00,-2.745555597890e+01,4.849414010271e+01
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.034510397866e+01,-5.406119154968e+03,3.289661570827e+03,-3.080811745622e+01,-5.412753907869e+03,3.314394512770e+03,-4.630134775652e-01,-6.634752901134e+00,2.473294194251e+01
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.964223498681e+01,-5.034699734739e+03,2.928965910746e+03,-3.898411173192e+01,-5.034093366790e+03,2.943946034342e+03,6.581232548933e-01,6.063679494188e-01,1.498012359564e+01
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.107000251546e+01,-3.324232399036e+03,1.809967299728e+03,-3.012779011264e+01,-3.321263270970e+03,1.821235907029e+03,9.422124028196e-01,2.969128065974e+00,1.126860730093e+01
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.581026019895e+00,-2.397619819991e+03,1.214894766581e+03,-5.463175911280e-01,-2.394092110821e+03,1.224225879428e+03,1.034708428767e+00,3.527709170234e+00,9.331112846472e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.342964805287e+01,-2.842516787525e+03,1.437301009459e+03,2.422930593532e+01,-2.839694140452e+03,1.445783898613e+03,7.996578824526e-01,2.822647073342e+00,8.482889153490e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.922130098422e+01,-3.799317789742e+03,1.927528002050e+03,2.976871349707e+01,-3.797183542527e+03,1.934907752368e+03,5.474125128513e-01,2.134247215265e+00,7.379750317553e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.556407239861e+01,-4.284113289865e+03,2.117029923923e+03,1.605000828566e+01,-4.282470231217e+03,2.123940172245e+03,4.859358870469e-01,1.643058648013e+00,6.910248322261e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.138898629509e+00,-4.054470849062e+03,1.896848620698e+03,-7.271186133243e-01,-4.052950849258e+03,1.903333875674e+03,4.117800161848e-01,1.519999804287e+00,6.485254976198e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.039353641686e+01,-3.526420668902e+03,1.539196832518e+03,-1.026030916429e+01,-3.524959797540e+03,1.545326187361e+03,1.332272525651e-01,1.460871362295e+00,6.129354842909e+00
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.166213655941e+01,-3.194799017787e+03,1.334271357629e+03,-1.153421157927e+01,-3.193340893715e+03,1.340225300557e+03,1.279249801355e-01,1.458124071853e+00,5.953942927494e+00
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.839488317651e+00,-3.200360595839e+03,1.341365431192e+03,-6.667724595900e+00,-3.199105512585e+03,1.347024971588e+03,1.717637217515e-01,1.255083254076e+00,5.659540396191e+00
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.068312515127e+00,-3.360860213458e+03,1.432678875730e+03,-5.875020910468e+00,-3.359703456867e+03,1.438080718763e+03,1.932916046595e-01,1.156756590023e+00,5.401843032401e+00
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.748038515052e+00,-3.454974032456e+03,1.469759824225e+03,-9.633684270704e+00,-3.453921619013e+03,1.474992029847e+03,1.143542443481e-01,1.052413442430e+00,5.232205621728e+00
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.391628947557e+01,-3.409802891517e+03,1.418823974365e+03,-1.382398048474e+01,-3.408725090305e+03,1.424002126646e+03,9.230899082674e-02,1.077801212052e+00,5.178152281309e+00
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.489879927762e+01,-3.299467874283e+03,1.337484125622e+03,-1.485821420701e+01,-3.298416003997e+03,1.342446925655e+03,4.058507061434e-02,1.051870285504e+00,4.962800033756e+00
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.173390705905e+01,-3.231180682584e+03,1.292017597391e+03,-1.175482477973e+01,-3.230074035663e+03,1.296942728715e+03,-2.091772068190e-02,1.106646920906e+00,4.925131323804e+00
"                  18",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.006879008995e+00,-3.237227903016e+03,1.295810761525e+03,-6.030156758485e+00,-3.236201210362e+03,1.300509952850e+03,-2.327774949026e-02,1.026692653603e+00,4.699191324823e+00
"                  19",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.393671563392e+00,-3.280403676378e+03,1.319776295957e+03,-1.416761923782e+00,-3.279494678530e+03,1.324311677462e+03,-2.309036038950e-02,9.089978477418e-01,4.535381504950e+00
"                  20",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.479391849241e-01,-3.308527073624e+03,1.331745857832e+03,9.028675564434e-01,-3.307598630208e+03,1.336348979401e+03,-4.507162848068e-02,9.284434159540e-01,4.603121569440e+00
"                  21",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.748790291984e+00,-3.296477602549e+03,1.320389738894e+03,2.697464768700e+00,-3.295520427539e+03,1.324879850096e+03,-5.132552328412e-02,9.571750101355e-01,4.490111201668e+00
"                  22",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.310693866902e+00,-3.263428948390e+03,1.299382380398e+03,6.204735245338e+00,-3.262526785544e+03,1.303826518107e+03,-1.059586215644e-01,9.021628455319e-01,4.444137708823e+00
