Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.431421304018e+01,-6.484816797498e+02,-6.062105926816e+02,3.076865204566e+01,-6.443381912937e+02,-6.169295893590e+02,6.454439005488e+00,4.143488456071e+00,-1.071899667739e+01
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.000433188020e+01,-1.151687102989e+03,-9.641132745113e+02,3.228584388807e+01,-1.149565686781e+03,-9.697663816921e+02,2.281512007871e+00,2.121416207492e+00,-5.653107180795e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.776651326989e+01,-1.019973933149e+03,-6.812095430926e+02,3.870508921971e+01,-1.018503465628e+03,-6.849843979727e+02,9.385759498150e-01,1.470467521013e+00,-3.774854880089e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.668917013369e+01,-5.987115698747e+02,-1.897061050304e+02,3.711638637721e+01,-5.974788933593e+02,-1.926722646462e+02,4.272162435240e-01,1.232676515314e+00,-2.966159615799e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.150468115106e+01,-4.131401948368e+02,-1.531539218931e+01,1.187209518500e+01,-4.120354194754e+02,-1.780093435964e+01,3.674140339427e-01,1.104775361357e+00,-2.485542170322e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.240142579402e+01,-6.219025784328e+02,-2.550794878431e+02,-3.214116774941e+01,-6.208718555810e+02,-2.574403874035e+02,2.602580446029e-01,1.030722851813e+00,-2.360899560415e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.831393367169e+01,-9.759271258102e+02,-5.959162688724e+02,-6.810256024341e+01,-9.750732399514e+02,-5.980230510146e+02,2.113734282791e-01,8.538858587791e-01,-2.106782142119e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.352642963300e+01,-1.192616949285e+03,-7.398280686185e+02,-8.334498120094e+01,-1.191845571053e+03,-7.418981256722e+02,1.814484320624e-01,7.713782321064e-01,-2.070057053714e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.567232338723e+01,-1.186108827795e+03,-6.455370803140e+02,-8.553804035190e+01,-1.185423004626e+03,-6.475447923429e+02,1.342830353269e-01,6.858231692810e-01,-2.007712028938e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.991812433072e+01,-1.084995289911e+03,-4.986407093275e+02,-8.979977671375e+01,-1.084362853663e+03,-5.006315151677e+02,1.183476169718e-01,6.324362475382e-01,-1.990805840196e+00
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.055029229512e+02,-1.038831612921e+03,-4.568968108382e+02,-1.054031551990e+02,-1.038224246316e+03,-4.589109331493e+02,9.976775217501e-02,6.073666047343e-01,-2.014122311148e+00
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.281382688650e+02,-1.089206882504e+03,-5.295834197764e+02,-1.280097609261e+02,-1.088721182518e+03,-5.315124373658e+02,1.285079389259e-01,4.856999857636e-01,-1.929017589332e+00
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.477491685470e+02,-1.178529001542e+03,-6.194857350785e+02,-1.476612058727e+02,-1.177923584835e+03,-6.214690332698e+02,8.796267433676e-02,6.054167066044e-01,-1.983298191284e+00
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.587788019652e+02,-1.234799787446e+03,-6.447600100156e+02,-1.587087188586e+02,-1.234251895913e+03,-6.466660431624e+02,7.008310659026e-02,5.478915333966e-01,-1.906033146771e+00
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.631987189084e+02,-1.235572411738e+03,-6.036049213871e+02,-1.631326295397e+02,-1.235076167177e+03,-6.054410298303e+02,6.608936866282e-02,4.962445608894e-01,-1.836108443242e+00
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.667324393392e+02,-1.208320618860e+03,-5.476527285546e+02,-1.665811236413e+02,-1.207779764435e+03,-5.494798257065e+02,1.513156978976e-01,5.408544253485e-01,-1.827097151914e+00
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.731844528008e+02,-1.192036525540e+03,-5.223394707637e+02,-1.730206410956e+02,-1.191433909659e+03,-5.241673024916e+02,1.638117052486e-01,6.026158813570e-01,-1.827831727856e+00
"                  18",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.815453101871e+02,-1.200572116933e+03,-5.311600216801e+02,-1.814463580457e+02,-1.200063390996e+03,-5.329699174518e+02,9.895214148126e-02,5.087259365745e-01,-1.809895771680e+00
"                  19",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.890083603752e+02,-1.223535888857e+03,-5.493363383125e+02,-1.888932997626e+02,-1.223006769619e+03,-5.511097671060e+02,1.150606126403e-01,5.291192382899e-01,-1.773428793418e+00
"                  20",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.938379676556e+02,-1.243958326229e+03,-5.540195121481e+02,-1.937336294722e+02,-1.243467494636e+03,-5.557632107554e+02,1.043381833740e-01,4.908315923139e-01,-1.743698607280e+00
"                  21",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.965247098774e+02,-1.254418207737e+03,-5.425849417158e+02,-1.964349734228e+02,-1.253911700706e+03,-5.443595803857e+02,8.973645462905e-02,5.065070313574e-01,-1.774638669894e+00
"                  22",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.993054571477e+02,-1.258596777324e+03,-5.279675946626e+02,-1.992095141177e+02,-1.258205684552e+03,-5.296137938404e+02,9.594303006984e-02,3.910927721607e-01,-1.646199177728e+00
"                  23",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.038472989611e+02,-1.263893369569e+03,-5.220274626360e+02,-2.037546728845e+02,-1.263528293532e+03,-5.236680627575e+02,9.262607661394e-02,3.650760370813e-01,-1.640600121506e+00
"                  24",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.096082986955e+02,-1.273292017486e+03,-5.256074191765e+02,-2.095327436820e+02,-1.272878403126e+03,-5.272662401226e+02,7.555501346261e-02,4.136143600997e-01,-1.658820946091e+00
"                  25",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.148884213703e+02,-1.284456158188e+03,-5.311308765070e+02,-2.147737219073e+02,-1.284064739866e+03,-5.327295296564e+02,1.146994629428e-01,3.914183219327e-01,-1.598653149369e+00
"                  26",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.189449180776e+02,-1.294511209738e+03,-5.324123581069e+02,-2.188473319618e+02,-1.294157800364e+03,-5.339694547224e+02,9.758611578920e-02,3.534093742530e-01,-1.557096615508e+00
"                  27",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.221545479119e+02,-1.302305896829e+03,-5.285509712786e+02,-2.220236995809e+02,-1.301943214024e+03,-5.301434632667e+02,1.308483310270e-01,3.626828044890e-01,-1.592491988198e+00
"                  28",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.252142130104e+02,-1.309092224501e+03,-5.236168944402e+02,-2.250880833199e+02,-1.308764722536e+03,-5.251392532242e+02,1.261296904363e-01,3.275019649006e-01,-1.522358783942e+00
"                  29",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.286898978683e+02,-1.316285684154e+03,-5.212798749191e+02,-2.285683228362e+02,-1.315994033833e+03,-5.228141508148e+02,1.215750321250e-01,2.916503212828e-01,-1.534275895666e+00
"                  30",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.330027721544e+02,-1.324106851720e+03,-5.218961959477e+02,-2.328866317766e+02,-1.323804217665e+03,-5.234690570872e+02,1.161403777328e-01,3.026340541470e-01,-1.572861139494e+00
"                  31",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.375465627734e+02,-1.331365182687e+03,-5.230083656364e+02,-2.374223968171e+02,-1.331067449626e+03,-5.245630361033e+02,1.241659563277e-01,2.977330611114e-01,-1.554670466850e+00
"                  32",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.417550923289e+02,-1.337012058971e+03,-5.220213177243e+02,-2.416400519864e+02,-1.336764513773e+03,-5.235317691919e+02,1.150403425140e-01,2.475451979938e-01,-1.510451467551e+00
"                  33",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.454118564295e+02,-1.341441204049e+03,-5.188173165439e+02,-2.453021942867e+02,-1.341251802332e+03,-5.202697963402e+02,1.096621427691e-01,1.894017174226e-01,-1.452479796275e+00
"                  34",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.488038623244e+02,-1.345358310700e+03,-5.149383023347e+02,-2.486880438382e+02,-1.345181719557e+03,-5.163811328569e+02,1.158184861799e-01,1.765911424781e-01,-1.442830522226e+00
"                  35",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.525199246274e+02,-1.349430100952e+03,-5.119057186605e+02,-2.523993314249e+02,-1.349221897723e+03,-5.134150618766e+02,1.205932024524e-01,2.082032290219e-01,-1.509343216123e+00
"                  36",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.560931100578e+02,-1.352994273794e+03,-5.097859649086e+02,-2.559755265673e+02,-1.352822949118e+03,-5.112160153480e+02,1.175834905407e-01,1.713246759860e-01,-1.430050439334e+00
"                  37",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.594896440629e+02,-1.355832835963e+03,-5.079714105484e+02,-2.593615854441e+02,-1.355681551509e+03,-5.094436629475e+02,1.280586188529e-01,1.512844535450e-01,-1.472252399121e+00
