Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                   1",1.007287509484e-02,-2.831560584772e-01,-1.411159633866e-01,-1.420400950905e-01,4.620658519524e-04
"                   2",1.230333219176e-02,-4.534293265851e-01,-2.238033191788e-01,-2.296260074063e-01,2.911344113733e-03
"                   3",1.795761170808e-02,-3.331531327111e-01,-1.617565522630e-01,-1.713965804481e-01,4.820014092514e-03
"                   4",2.169914603584e-02,-1.095299838035e-01,-4.937544963155e-02,-6.015453417194e-02,5.389542270194e-03
"                   5",1.461119069273e-02,-2.046379946260e-02,-4.986572791456e-03,-1.547722667114e-02,5.245326939841e-03
"                   6",-2.429279576561e-03,-1.211023455466e-01,-5.522050532787e-02,-6.588184021871e-02,5.330667445417e-03
"                   7",-1.801473142615e-02,-2.761070474367e-01,-1.323906612826e-01,-1.437163861541e-01,5.662862435745e-03
"                   8",-2.529143475770e-02,-3.469912976330e-01,-1.673950237799e-01,-1.795962738531e-01,6.100625036591e-03
"                   9",-2.648773510083e-02,-3.076216984251e-01,-1.471766782021e-01,-1.604450202230e-01,6.634171010466e-03
"                  10",-2.780585371704e-02,-2.416154378088e-01,-1.139529895374e-01,-1.276624482714e-01,6.854729367021e-03
"                  11",-3.323052136890e-02,-2.217048003727e-01,-1.039160905866e-01,-1.177887097862e-01,6.936309599814e-03
"                  12",-4.135560676867e-02,-2.526789218344e-01,-1.191538456404e-01,-1.335250761941e-01,7.185615276850e-03
"                  13",-4.825051409561e-02,-2.909045130667e-01,-1.376840204972e-01,-1.532204925694e-01,7.768236036112e-03
"                  14",-5.238349895875e-02,-3.003359168373e-01,-1.417377885345e-01,-1.585981283028e-01,8.430169884151e-03
"                  15",-5.518337767000e-02,-2.812649743139e-01,-1.316344414864e-01,-1.496305328274e-01,8.998045670510e-03
"                  16",-5.846656036032e-02,-2.564530752843e-01,-1.187941010014e-01,-1.376589742829e-01,9.432436640779e-03
"                  17",-6.241431758873e-02,-2.450749818888e-01,-1.126990070567e-01,-1.323759748321e-01,9.838483887684e-03
"                  18",-6.627966042177e-02,-2.486623163839e-01,-1.140178808002e-01,-1.346444355837e-01,1.031327739173e-02
"                  19",-6.957499318021e-02,-2.561982943236e-01,-1.172992762686e-01,-1.388990180550e-01,1.079987089322e-02
"                  20",-7.236961085723e-02,-2.580556124823e-01,-1.177952501681e-01,-1.402603623142e-01,1.123255607306e-02
"                  21",-7.475166156766e-02,-2.528420698952e-01,-1.148993346631e-01,-1.379427352320e-01,1.152170028444e-02
"                  22",-7.723697482712e-02,-2.459999964198e-01,-1.113266529904e-01,-1.346733434293e-01,1.167334521947e-02
"                  23",-8.018434035321e-02,-2.428734126891e-01,-1.096540393666e-01,-1.332193733224e-01,1.178266697792e-02
"                  24",-8.335335629144e-02,-2.441716839187e-01,-1.102091139340e-01,-1.339625699847e-01,1.187672802538e-02
"                  25",-8.620822941512e-02,-2.470742856836e-01,-1.116022152709e-01,-1.354720704127e-01,1.193492757091e-02
"                  26",-8.848980804211e-02,-2.485948709636e-01,-1.123546876597e-01,-1.362401833038e-01,1.194274782203e-02
"                  27",-9.038672661270e-02,-2.478892260843e-01,-1.120413145445e-01,-1.358479115398e-01,1.190329849764e-02
"                  28",-9.230087958373e-02,-2.464629712639e-01,-1.113806624424e-01,-1.350823088215e-01,1.185082318954e-02
"                  29",-9.439811350006e-02,-2.459140444408e-01,-1.111265762421e-01,-1.347874681988e-01,1.183044597836e-02
"                  30",-9.659226459179e-02,-2.463662712335e-01,-1.113195972999e-01,-1.350466739337e-01,1.186353831690e-02
"                  31",-9.883137975272e-02,-2.467918858726e-01,-1.114406139359e-01,-1.353512719367e-01,1.195532900040e-02
"                  32",-1.009596047406e-01,-2.464287754740e-01,-1.111731747011e-01,-1.352556007729e-01,1.204121303591e-02
"                  33",-1.031075129999e-01,-2.454257789861e-01,-1.106065559739e-01,-1.348192230122e-01,1.210633351913e-02
"                  34",-1.054644844739e-01,-2.447460936953e-01,-1.102109949009e-01,-1.345350987943e-01,1.216205194672e-02
"                  35",-1.080184951793e-01,-2.446105455890e-01,-1.100934939308e-01,-1.345170516582e-01,1.221177886371e-02
"                  36",-1.105484587133e-01,-2.446208748533e-01,-1.100416417683e-01,-1.345792330850e-01,1.226879565832e-02
"                  37",-1.129042660488e-01,-2.443372290621e-01,-1.098415190940e-01,-1.344957099681e-01,1.232709543707e-02
"                  38",-1.150960536352e-01,-2.436508155757e-01,-1.094326504287e-01,-1.342181651471e-01,1.239275735921e-02
"                  39",-1.172344844533e-01,-2.427317847345e-01,-1.088969946060e-01,-1.338347901285e-01,1.246889776127e-02
"                  40",-1.193928331683e-01,-2.418446008979e-01,-1.083912892998e-01,-1.334533115981e-01,1.253101114916e-02
"                  41",-1.215936706397e-01,-2.410490332556e-01,-1.079647931184e-01,-1.330842401372e-01,1.255972350939e-02
"                  42",-1.238067094793e-01,-2.406109085663e-01,-1.077242428711e-01,-1.328866656952e-01,1.258121141204e-02
"                  43",-1.260120094241e-01,-2.400910879032e-01,-1.074577885315e-01,-1.326332993718e-01,1.258775542015e-02
"                  44",-1.282231460308e-01,-2.395192271785e-01,-1.071433042917e-01,-1.323759228869e-01,1.261630929761e-02
"                  45",-1.305507469102e-01,-2.387918677378e-01,-1.067216452266e-01,-1.320702225112e-01,1.267428864231e-02
"                  46",-1.330130375291e-01,-2.380380544292e-01,-1.062614369588e-01,-1.317766174704e-01,1.275759025582e-02
"                  47",-1.356412822027e-01,-2.374398864328e-01,-1.058508578809e-01,-1.315890285519e-01,1.286908533547e-02
"                  48",-1.382605861905e-01,-2.368353090026e-01,-1.054484852479e-01,-1.313868237547e-01,1.296916925339e-02
"                  49",-1.407370550213e-01,-2.361442128335e-01,-1.050422920685e-01,-1.311019207651e-01,1.302981434830e-02
"                  50",-1.430711637342e-01,-2.353980755201e-01,-1.046415578165e-01,-1.307565177036e-01,1.305747994358e-02
"                  51",-1.452721811522e-01,-2.345485341591e-01,-1.041775405883e-01,-1.303709935708e-01,1.309672649122e-02
"                  52",-1.474645056334e-01,-2.336095124789e-01,-1.036578479294e-01,-1.299516645495e-01,1.314690831005e-02
"                  53",-1.497964971542e-01,-2.326227472542e-01,-1.030758001067e-01,-1.295469471475e-01,1.323557352037e-02
"                  54",-1.521948047976e-01,-2.315042968448e-01,-1.024346713639e-01,-1.290696254809e-01,1.331747705851e-02
"                  55",-1.544097390082e-01,-2.301985264894e-01,-1.017341678373e-01,-1.284643586522e-01,1.336509540744e-02
"                  56",-1.564069650771e-01,-2.289207380647e-01,-1.010742357242e-01,-1.278465023406e-01,1.338613330819e-02
"                  57",-1.582495964714e-01,-2.276993654304e-01,-1.004646105002e-01,-1.272347549302e-01,1.338507221502e-02
"                  58",-1.600894370484e-01,-2.265441641428e-01,-9.987967990605e-02,-1.266644842368e-01,1.339240216537e-02
"                  59",-1.621009779382e-01,-2.253972173976e-01,-9.925924646617e-02,-1.261379709314e-01,1.343936223262e-02
"                  60",-1.641302263177e-01,-2.242940078813e-01,-9.864881523401e-02,-1.256451926473e-01,1.349818870663e-02
