Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.314226923185e+01,-4.358575047986e+02,-4.183624010816e+02,1.506524381372e+01,-4.370116483672e+02,-4.234952799599e+02,1.922974581863e+00,-1.154143568577e+00,-5.132878878290e+00
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.737320511830e+01,-8.076119569085e+02,-6.745697859268e+02,1.840117120930e+01,-8.071181014775e+02,-6.781602365738e+02,1.027966091002e+00,4.938554310381e-01,-3.590450646976e+00
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.628153713509e+01,-7.526996516959e+02,-4.954111474797e+02,2.685785301090e+01,-7.516269301754e+02,-4.982721541110e+02,5.763158758097e-01,1.072721520481e+00,-2.861006631264e+00
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.211608952734e+01,-4.722879647769e+02,-1.615194536030e+02,3.245378528985e+01,-4.712319119593e+02,-1.638157820261e+02,3.376957625045e-01,1.056052817645e+00,-2.296328423039e+00
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.158304298342e+01,-3.193452456028e+02,-2.861804424929e+01,2.185286207982e+01,-3.183143598098e+02,-3.060617007124e+01,2.698190963962e-01,1.030885792935e+00,-1.988125821952e+00
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.795722076829e+00,-4.280479584862e+02,-1.792435463488e+02,-3.633291266695e+00,-4.272177504314e+02,-1.811236955581e+02,1.624308101343e-01,8.302080547684e-01,-1.880149209348e+00
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.704298008955e+01,-6.540724710311e+02,-4.111099675611e+02,-2.694328268923e+01,-6.533615316039e+02,-4.129526028226e+02,9.969740031854e-02,7.109394272440e-01,-1.842635261476e+00
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.791867377742e+01,-8.054139606536e+02,-5.172797645283e+02,-3.782650210949e+01,-8.047619762402e+02,-5.189688595223e+02,9.217166793666e-02,6.519844133103e-01,-1.689094993997e+00
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.970469393513e+01,-8.089333610669e+02,-4.583986061536e+02,-3.961571881018e+01,-8.083270773908e+02,-4.600867027070e+02,8.897512495008e-02,6.062836761647e-01,-1.688096553419e+00
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.169672600519e+01,-7.421416248071e+02,-3.596599113072e+02,-4.158712996555e+01,-7.415939121827e+02,-3.613660891728e+02,1.095960396340e-01,5.477126243423e-01,-1.706177865635e+00
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.982651425385e+01,-7.047542845887e+02,-3.299625655010e+02,-4.970039852237e+01,-7.042175957113e+02,-3.315872420575e+02,1.261157314873e-01,5.366888774387e-01,-1.624676556530e+00
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.192611030426e+01,-7.296901462214e+02,-3.763611115255e+02,-6.185247937339e+01,-7.292138673787e+02,-3.779129124686e+02,7.363093087349e-02,4.762788427797e-01,-1.551800943118e+00
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.222802712061e+01,-7.818735093983e+02,-4.334899289023e+02,-7.216467514425e+01,-7.813448348187e+02,-4.350840623553e+02,6.335197636358e-02,5.286745796434e-01,-1.594133453065e+00
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.839254223048e+01,-8.151855752416e+02,-4.476551692012e+02,-7.834607063018e+01,-8.146686671839e+02,-4.491899056197e+02,4.647160029725e-02,5.169080576743e-01,-1.534736418507e+00
