Time (s),POROUS_MOMENT_X,POROUS_MOMENT_Y,POROUS_MOMENT_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.990183151451e+01,3.882038394896e-01,-9.470261465341e+00,-3.985842168288e+01,6.910772398262e-01,-9.902139220362e+00,4.340983163374e-02,3.028734003366e-01,-4.318777550204e-01
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.696576926323e+01,4.103385177933e+00,-1.816045466704e+01,-4.694620856187e+01,4.354279040102e+00,-1.829708091804e+01,1.956070136792e-02,2.508938621695e-01,-1.366262509961e-01
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.169500914693e-01,7.004239350285e+00,-2.026018712736e+01,-7.001562481788e-01,7.208933577116e+00,-2.029136523903e+01,1.679384329045e-02,2.046942268308e-01,-3.117811167368e-02
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.990249081075e+01,7.866948983314e+00,-1.642595477629e+01,4.987976718982e+01,8.060734157858e+00,-1.641506763670e+01,-2.272362092597e-02,1.937851745447e-01,1.088713958992e-02
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.834599111758e+01,7.656559169688e+00,-1.160864835760e+01,5.831030315210e+01,7.845042104400e+00,-1.157377729232e+01,-3.568796548395e-02,1.884829347122e-01,3.487106528859e-02
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.317358372019e+01,7.780919794517e+00,-9.044332571100e+00,2.312216361345e+01,7.972679498052e+00,-9.005465153590e+00,-5.142010673733e-02,1.917597035342e-01,3.886741751038e-02
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.552057366481e+01,8.270012930917e+00,-9.326463297941e+00,-1.559313785786e+01,8.469518630462e+00,-9.274384017820e+00,-7.256419304754e-02,1.995056995451e-01,5.207928012016e-02
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.512451345558e+01,8.939215771795e+00,-1.112009270970e+01,-2.518168448338e+01,9.124247320352e+00,-1.107194710433e+01,-5.717102779999e-02,1.850315485575e-01,4.814560536500e-02
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.287332995715e+00,9.731575658287e+00,-1.279395039472e+01,-6.335357793210e+00,9.922232017528e+00,-1.274067789607e+01,-4.802479749471e-02,1.906563592410e-01,5.327249864496e-02
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.313362964818e+01,1.007382280588e+01,-1.345873869539e+01,1.310757963012e+01,1.025210460955e+01,-1.342181700058e+01,-2.605001805783e-02,1.782818036754e-01,3.692169481466e-02
