Time (s),Ux,Uy,Uz,k,omega,p
1,0.297237941284,0.308257551644,0.236659214078,1,3.87848037053e-06,1
2,0.186378367449,0.160422068147,0.14203594916,0.216498410554,3.54408311575e-06,0.38145285941
3,0.116111579787,0.0616507372988,0.134562905203,0.122074184114,3.3179189749e-06,0.276792423531
4,0.0776244261497,0.0283914639761,0.116221552216,0.0828619624007,3.45077871215e-06,0.315974442749
5,0.0579504102345,0.0165115323314,0.0552528476851,0.060268315071,3.54189397135e-06,0.361250600364
6,0.0468653855263,0.0133594740152,0.0429714347736,0.0454888604293,3.87895162353e-06,0.386940704439
7,0.0388313601832,0.0112383868968,0.0345333210382,0.0351939030391,4.03865388966e-06,0.366811089507
8,0.0342252032907,0.00946975000117,0.026968019159,0.0278717968091,4.33216499972e-06,0.326420315935
9,0.0312461465971,0.00797860946241,0.0203115729435,0.0227986158662,4.68346686213e-06,0.299138952034
10,0.0284083598255,0.00656314326859,0.0150997585071,0.0191429261995,4.98389220556e-06,0.291717958963
11,0.0255271646851,0.00559082057268,0.0119741785058,0.0163553880482,5.22289028662e-06,0.283945483322
12,0.0228839949893,0.00499098756495,0.0100814775188,0.0142592216411,5.40690229961e-06,0.27514963415
13,0.0209468129672,0.00453302529885,0.00889535424584,0.0125921957756,5.69806762112e-06,0.259989860236
14,0.0197743799033,0.00420044965015,0.0081503587582,0.0112711846095,5.83133598417e-06,0.242740311911
15,0.0191353683116,0.00398025733855,0.00754793535946,0.0102313193077,5.98710835827e-06,0.232084120415
16,0.0185395253203,0.00379009456205,0.00697778596516,0.0094238679077,6.07100407965e-06,0.226255415045
17,0.0179163643467,0.00362323954035,0.00647061519792,0.00880408282612,6.15109060312e-06,0.220483570674
18,0.0172886625866,0.00348113178144,0.00606736757927,0.00833086457961,6.21565988823e-06,0.213200266181
19,0.0168339497625,0.00336121345151,0.00578156588688,0.00796618737781,6.27776035462e-06,0.205296223829
20,0.0165632910331,0.00328089710776,0.00557803272727,0.00767396885976,6.31252845287e-06,0.198894117124
21,0.0164278316832,0.0032233169432,0.0054162240303,0.00743194187932,6.34959266248e-06,0.192895128017
22,0.01632997333,0.0031744755025,0.00524864442665,0.00722104332748,6.38676156693e-06,0.187883887084
23,0.0161733400188,0.00313116118388,0.00509190778073,0.00702976928511,6.42800386645e-06,0.181048216585
24,0.0160123677764,0.00309344201673,0.00496154084233,0.00685199025907,6.46587205421e-06,0.173366105062
